constituency,code,direction,win_lose,party,candidate,votes,perc_share,change
Dundee West,S14000016,SNP HOLD,lose,Christian Peoples Alliance,Quinta Arrey,240,0.6,+0.6
Dunfermline & West Fife,S14000017,SNP HOLD,win,Scottish National Party,Douglas Chapman,"23,727",44.4,+8.8
Dunfermline & West Fife,S14000017,SNP HOLD,lose,Labour,Cara Hilton,"13,028",24.4,-9.5
Dunfermline & West Fife,S14000017,SNP HOLD,lose,Conservative,Moira Benny,"11,207",21.0,-3.7
Dunfermline & West Fife,S14000017,SNP HOLD,lose,Liberal Democrat,Rebecca Bell,"4,262",8.0,+2.1
Dunfermline & West Fife,S14000017,SNP HOLD,lose,Green,Mags Hall,"1,258",2.4,+2.4
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,win,Scottish National Party,Lisa Cameron,"26,113",46.4,+7.5
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,lose,Labour,Monique McAdams,"12,791",22.7,-9.0
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,lose,Conservative,Gail MacGregor,"11,961",21.2,-4.1
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,lose,Liberal Democrat,Ewan McRobert,"3,760",6.7,+3.7
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,lose,Green,Erica Bradley-Young,"1,153",2.0,+2.0
"East Kilbride, Strathaven & Lesmahagow",S14000019,SNP HOLD,lose,UKIP,David Mackay,559,1.0,-0.2
East Lothian,S14000020,SNP GAIN FROM LAB,win,Scottish National Party,Kenny MacAskill,"21,156",36.2,+5.6
East Lothian,S14000020,SNP GAIN FROM LAB,lose,Labour,Martin Whitfield,"17,270",29.5,-6.6
East Lothian,S14000020,SNP GAIN FROM LAB,lose,Conservative,Craig Hoy,"15,523",26.5,-3.1
East Lothian,S14000020,SNP GAIN FROM LAB,lose,Liberal Democrat,Robert O'Riordan,"4,071",7.0,+3.8
East Lothian,S14000020,SNP GAIN FROM LAB,lose,UKIP,David Sisson,493,0.8,+0.8
Edinburgh South West,S14000025,SNP HOLD,win,Scottish National Party,Joanna Cherry,"24,830",47.6,+12.0
Edinburgh South West,S14000025,SNP HOLD,lose,Conservative,Callum Laidlaw,"12,848",24.6,-8.7
Edinburgh South West,S14000025,SNP HOLD,lose,Labour,Sophie Cooke,"7,478",14.3,-12.4
Edinburgh South West,S14000025,SNP HOLD,lose,Liberal Democrat,Tom Inglis,"4,971",9.5,+5.2
Edinburgh South West,S14000025,SNP HOLD,lose,Green,Ben Parker,"1,265",2.4,+2.4
Edinburgh South West,S14000025,SNP HOLD,lose,The Brexit Party,David Ballantine,625,1.2,+1.2
Edinburgh South West,S14000025,SNP HOLD,lose,Social Democratic Party,Mev Brown,114,0.2,+0.2
Renfrewshire East,S14000021,SNP GAIN FROM CON,win,Scottish National Party,Kirsten Oswald,"24,877",44.9,+13.7
Renfrewshire East,S14000021,SNP GAIN FROM CON,lose,Conservative,Paul Masterton,"19,451",35.1,-4.9
Renfrewshire East,S14000021,SNP GAIN FROM CON,lose,Labour,Carolann Davidson,"6,855",12.4,-14.3
Renfrewshire East,S14000021,SNP GAIN FROM CON,lose,Liberal Democrat,Andrew McGlynn,"4,174",7.5,+5.5
Edinburgh East,S14000022,SNP HOLD,win,Scottish National Party,Tommy Sheppard,"23,165",48.4,+5.9
Edinburgh East,S14000022,SNP HOLD,lose,Labour,Sheila Gilmore,"12,748",26.7,-8.0
Edinburgh East,S14000022,SNP HOLD,lose,Conservative,Eleanor Price,"6,549",13.7,-4.9
Edinburgh East,S14000022,SNP HOLD,lose,Liberal Democrat,Jill Reilly,"3,289",6.9,+2.6
Edinburgh East,S14000022,SNP HOLD,lose,Green,Claire Miller,"2,064",4.3,+4.3
Edinburgh North & Leith,S14000023,SNP HOLD,win,Scottish National Party,Deidre Brock,"25,925",43.7,+9.7
Edinburgh North & Leith,S14000023,SNP HOLD,lose,Labour,Gordon Munro,"13,117",22.1,-9.1
Edinburgh North & Leith,S14000023,SNP HOLD,lose,Conservative,Iain McGill,"11,000",18.5,-8.7
Edinburgh North & Leith,S14000023,SNP HOLD,lose,Liberal Democrat,Bruce Wilson,"6,635",11.2,+6.6
Edinburgh North & Leith,S14000023,SNP HOLD,lose,Green,Steve Burgess,"1,971",3.3,+0.3
Edinburgh North & Leith,S14000023,SNP HOLD,lose,The Brexit Party,Robert Speirs,558,0.9,+0.9
Edinburgh North & Leith,S14000023,SNP HOLD,lose,Renew,Heather Astbury,138,0.2,+0.2
Edinburgh South,S14000024,LAB HOLD,win,Labour,Ian Murray,"23,745",47.7,-7.2
Edinburgh South,S14000024,LAB HOLD,lose,Scottish National Party,Catriona Macdonald,"12,650",25.4,+3.0
Edinburgh South,S14000024,LAB HOLD,lose,Conservative,Nick Cook,"8,161",16.4,-3.3
Edinburgh South,S14000024,LAB HOLD,lose,Liberal Democrat,Alan Beal,"3,819",7.7,+4.8
Edinburgh South,S14000024,LAB HOLD,lose,Green,Kate Nevens,"1,357",2.7,+2.7
Glasgow East,S14000030,SNP HOLD,win,Scottish National Party,David Linden,"18,357",47.7,+8.9
Glasgow East,S14000030,SNP HOLD,lose,Labour,Kate Watson,"12,791",33.2,-5.3
Glasgow East,S14000030,SNP HOLD,lose,Conservative,Thomas Kerr,"5,709",14.8,-4.0
Glasgow East,S14000030,SNP HOLD,lose,Liberal Democrat,James Harrison,"1,626",4.2,+2.7
Edinburgh West,S14000026,LD HOLD,win,Liberal Democrat,Christine Jardine,"21,766",39.9,+5.6
Edinburgh West,S14000026,LD HOLD,lose,Scottish National Party,Sarah Masson,"17,997",33.0,+4.4
Edinburgh West,S14000026,LD HOLD,lose,Conservative,Graham Hutchison,"9,283",17.0,-4.9
Edinburgh West,S14000026,LD HOLD,lose,Labour,Craig Bolton,"4,460",8.2,-6.7
Edinburgh West,S14000026,LD HOLD,lose,Green,Elaine Gunn,"1,027",1.9,+1.9
Na h-Eileanan an Iar (Western Isles),S14000027,SNP HOLD,win,Scottish National Party,Angus MacNeil,"6,531",45.1,+4.5
Na h-Eileanan an Iar (Western Isles),S14000027,SNP HOLD,lose,Labour,Alison MacCorquodale,"4,093",28.3,-5.5
Na h-Eileanan an Iar (Western Isles),S14000027,SNP HOLD,lose,Conservative,Jennifer Ross,"3,216",22.2,+5.7
Na h-Eileanan an Iar (Western Isles),S14000027,SNP HOLD,lose,Liberal Democrat,Neil Mitchison,637,4.4,+2.7
Falkirk,S14000028,SNP HOLD,win,Scottish National Party,Johnny McNally,"29,351",52.5,+13.6
Falkirk,S14000028,SNP HOLD,lose,Conservative,Lynn Munro,"14,403",25.8,-0.4
Falkirk,S14000028,SNP HOLD,lose,Labour,Safia Ali,"6,243",11.2,-18.6
Falkirk,S14000028,SNP HOLD,lose,Liberal Democrat,Austin Reid,"3,990",7.1,+5.1
Falkirk,S14000028,SNP HOLD,lose,Green,Tom McLaughlin,"1,885",3.4,+1.7
Glasgow Central,S14000029,SNP HOLD,win,Scottish National Party,Alison Thewliss,"19,750",49.2,+4.5
Glasgow Central,S14000029,SNP HOLD,lose,Labour,Faten Hameed,"13,276",33.1,-5.3
Glasgow Central,S14000029,SNP HOLD,lose,Conservative,Flora Scarabello,"3,698",9.2,-4.7
Glasgow Central,S14000029,SNP HOLD,lose,Liberal Democrat,Ewan Hoyle,"1,952",4.9,+2.0
Glasgow Central,S14000029,SNP HOLD,lose,Green,Elaine Gallagher,"1,429",3.6,+3.6
Glenrothes,S14000036,SNP HOLD,win,Scottish National Party,Peter Grant,"21,234",51.1,+8.3
Glenrothes,S14000036,SNP HOLD,lose,Labour,Pat Egan,"9,477",22.8,-11.9
Glenrothes,S14000036,SNP HOLD,lose,Conservative,Amy Thomson,"6,920",16.7,-2.8
Glenrothes,S14000036,SNP HOLD,lose,Liberal Democrat,Jane Ann Liston,"2,639",6.4,+3.4
Glenrothes,S14000036,SNP HOLD,lose,The Brexit Party,Victor Farrell,"1,276",3.1,+3.1
Gordon,S14000037,SNP GAIN FROM CON,win,Scottish National Party,Richard Thomson,"23,885",42.7,+6.9
Gordon,S14000037,SNP GAIN FROM CON,lose,Conservative,Colin Clark,"23,066",41.3,+0.5
Gordon,S14000037,SNP GAIN FROM CON,lose,Liberal Democrat,James Oates,"5,913",10.6,-1.0
Gordon,S14000037,SNP GAIN FROM CON,lose,Labour,Heather Herbert,"3,052",5.5,-6.4
Inverclyde,S14000038,SNP HOLD,win,Scottish National Party,Ronnie Cowan,"19,295",48.4,+9.9
Inverclyde,S14000038,SNP HOLD,lose,Labour,Martin McCluskey,"11,783",29.5,-8.0
Inverclyde,S14000038,SNP HOLD,lose,Conservative,Haroun Malik,"6,265",15.7,-5.8
Inverclyde,S14000038,SNP HOLD,lose,Liberal Democrat,Jacci Stoyle,"2,560",6.4,+3.9
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,win,Scottish National Party,Drew Hendry,"26,247",47.9,+8.0
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,lose,Conservative,Fiona Fawcett,"15,807",28.8,-1.7
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,lose,Liberal Democrat,Robert Rixson,"5,846",10.7,-1.6
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,lose,Labour,Lewis Whyte,"4,123",7.5,-8.7
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,lose,Green,Ariane Burgess,"1,709",3.1,+3.1
"Inverness, Nairn, Badenoch & Strathspey",S14000039,SNP HOLD,lose,The Brexit Party,Les Durance,"1,078",2.0,+2.0
Linlithgow & Falkirk East,S14000043,SNP HOLD,win,Scottish National Party,Martyn Day,"25,551",44.2,+7.9
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,Conservative,Charles Kennedy,"14,285",24.7,-4.4
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,Labour,Wendy Milne,"10,517",18.2,-12.9
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,Liberal Democrat,Sally Pattle,"4,393",7.6,+4.2
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,The Brexit Party,Marc Bozza,"1,257",2.2,+2.2
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,Green,Gillian Mackay,"1,184",2.0,+2.0
Linlithgow & Falkirk East,S14000043,SNP HOLD,lose,Veterans and People's Party,Mark Tunnicliff,588,1.0,+1.0
Kilmarnock & Loudoun,S14000040,SNP HOLD,win,Scottish National Party,Alan Brown,"24,216",50.8,+8.5
Kilmarnock & Loudoun,S14000040,SNP HOLD,lose,Conservative,Caroline Hollins,"11,557",24.3,-2.4
Kilmarnock & Loudoun,S14000040,SNP HOLD,lose,Labour,Kevin McGregor,"9,009",18.9,-9.9
Kilmarnock & Loudoun,S14000040,SNP HOLD,lose,Liberal Democrat,Edward Thornley,"2,444",5.1,+3.0
Kilmarnock & Loudoun,S14000040,SNP HOLD,lose,Libertarian,Stef Johnstone,405,0.9,+0.9
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,win,Scottish National Party,Neale Hanvey,"16,568",35.2,-1.0
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,lose,Labour,Lesley Laird,"15,325",32.6,-4.2
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,lose,Conservative,Kathleen Leslie,"9,449",20.1,-3.2
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,lose,Liberal Democrat,Gill Cole-Hamilton,"2,903",6.2,+3.8
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,lose,Green,Scott Rutherford,"1,628",3.5,+3.5
Kirkcaldy & Cowdenbeath,S14000041,SNP GAIN FROM LAB,lose,The Brexit Party,Mitch William,"1,132",2.4,+2.4
Lanark & Hamilton East,S14000042,SNP HOLD,win,Scottish National Party,Angela Crawley,"22,243",41.9,+9.3
Lanark & Hamilton East,S14000042,SNP HOLD,lose,Conservative,Shona Haslam,"17,056",32.1,+0.1
Lanark & Hamilton East,S14000042,SNP HOLD,lose,Labour,Andrew Hilland,"10,736",20.2,-11.6
Lanark & Hamilton East,S14000042,SNP HOLD,lose,Liberal Democrat,Jane Pickard,"3,037",5.7,+3.3
Livingston,S14000044,SNP HOLD,win,Scottish National Party,Hannah Bardell,"25,617",46.9,+6.9
Livingston,S14000044,SNP HOLD,lose,Conservative,Damian Timson,"12,182",22.3,-2.1
Livingston,S14000044,SNP HOLD,lose,Labour,Caitlin Kane,"11,915",21.8,-10.9
Livingston,S14000044,SNP HOLD,lose,Liberal Democrat,Charles Dundas,"3,457",6.3,+3.5
Livingston,S14000044,SNP HOLD,lose,Green,Cameron Glasgow,"1,421",2.6,+2.6
Midlothian,S14000045,SNP GAIN FROM LAB,win,Scottish National Party,Owen Thompson,"20,033",41.5,+7.1
Midlothian,S14000045,SNP GAIN FROM LAB,lose,Labour,Danielle Rowley,"14,328",29.7,-6.6
Midlothian,S14000045,SNP GAIN FROM LAB,lose,Conservative,Rebecca Fraser,"10,467",21.7,-3.7
Midlothian,S14000045,SNP GAIN FROM LAB,lose,Liberal Democrat,Steve Arrundale,"3,393",7.0,+3.2
Moray,S14000046,CON HOLD,win,Conservative,Douglas Ross,"22,112",45.3,-2.3
Moray,S14000046,CON HOLD,lose,Scottish National Party,Laura Mitchell,"21,599",44.2,+5.4
Moray,S14000046,CON HOLD,lose,Labour,Jo Kirby,"2,432",5.0,-6.0
Moray,S14000046,CON HOLD,lose,Liberal Democrat,Fiona Campbell Trevor,"2,269",4.6,+2.4
Moray,S14000046,CON HOLD,lose,UKIP,Rob Scorer,413,0.8,+0.8
Motherwell & Wishaw,S14000047,SNP HOLD,win,Scottish National Party,Marion Fellows,"20,622",46.4,+7.9
Motherwell & Wishaw,S14000047,SNP HOLD,lose,Labour,Angela Feeney,"14,354",32.3,-5.4
Motherwell & Wishaw,S14000047,SNP HOLD,lose,Conservative,Meghan Gallacher,"7,150",16.1,-4.2
Motherwell & Wishaw,S14000047,SNP HOLD,lose,Liberal Democrat,Christopher Wilson,"1,675",3.8,+1.6
Motherwell & Wishaw,S14000047,SNP HOLD,lose,UKIP,Neil Wilson,619,1.4,+0.1
Ayrshire North & Arran,S14000048,SNP HOLD,win,Scottish National Party,Patricia Gibson,"23,376",48.5,+9.6
Ayrshire North & Arran,S14000048,SNP HOLD,lose,Conservative,David Rocks,"14,855",30.8,-0.4
Ayrshire North & Arran,S14000048,SNP HOLD,lose,Labour,Cameron Gilmore,"6,702",13.9,-13.6
Ayrshire North & Arran,S14000048,SNP HOLD,lose,Liberal Democrat,Louise Young,"2,107",4.4,+2.0
Ayrshire North & Arran,S14000048,SNP HOLD,lose,Green,David Nairn,"1,114",2.3,+2.3
Fife North East,S14000049,LD GAIN FROM SNP,win,Liberal Democrat,Wendy Chamberlain,"19,763",43.1,+10.2
Fife North East,S14000049,LD GAIN FROM SNP,lose,Scottish National Party,Stephen Gethins,"18,447",40.2,+7.3
Fife North East,S14000049,LD GAIN FROM SNP,lose,Conservative,Tony Miklinski,"5,961",13.0,-11.1
Fife North East,S14000049,LD GAIN FROM SNP,lose,Labour,Wendy Haynes,"1,707",3.7,-5.9
Ochil & South Perthshire,S14000050,SNP GAIN FROM CON,win,Scottish National Party,John Nicolson,"26,882",46.5,+11.2
Ochil & South Perthshire,S14000050,SNP GAIN FROM CON,lose,Conservative,Luke Graham,"22,384",38.7,-2.8
Ochil & South Perthshire,S14000050,SNP GAIN FROM CON,lose,Labour,Lorna Robertson,"4,961",8.6,-11.4
Ochil & South Perthshire,S14000050,SNP GAIN FROM CON,lose,Liberal Democrat,Iliyan Stefanov,"3,204",5.5,+2.3
Ochil & South Perthshire,S14000050,SNP GAIN FROM CON,lose,UKIP,Stuart Martin,382,0.7,+0.7
Orkney & Shetland,S14000051,LD HOLD,win,Liberal Democrat,Alistair Carmichael,"10,381",44.8,-3.8
